Index,Adsorbent,Directory,co2_0.1bar,co2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc
2068,KAKCAD_clean,MOF2068,0.126600643,8.935892598,0.126708891,2.703467187,8.809291955,2.5767582960000004,6.710852607134609
2069,KAKCEH_clean,MOF2069,0.079139564,7.579126324,0.077014334,1.632670056,7.49998676,1.555655722,9.42500481718069
2070,KAKCEH01_clean,MOF2070,0.078761715,7.189168535,0.078992244,1.650769972,7.110406820000001,1.571777728,8.842050018807647
2071,KAKCEH02_clean,MOF2071,0.077442654,7.450545847,0.076205438,1.623749002,7.3731031929999995,1.5475435640000001,9.316012383652728
2072,KALFEK_clean,MOF2072,0.244767386,7.953886221,0.244827767,3.364581222,7.709118835,3.119753455,4.799646146625799
2073,KALFOU_clean,MOF2073,0.27773224,8.05783517,0.27531197,3.437570468,7.780102930000001,3.162258498,4.759130704555883
2074,KALFUA_clean,MOF2074,0.395994417,8.184404771,0.398054903,3.981983615,7.788410354000001,3.5839287119999996,4.173001050329003
2075,KALGAH_clean,MOF2075,0.256662691,8.130418543,0.259348635,3.342032272,7.8737558519999995,3.082683637,4.939274088938196
2076,KALGEL_clean,MOF2076,0.23233583,8.035921917,0.235893274,3.283402809,7.803586086999999,3.047509535,4.969039002659767
2077,KANDIO_clean,MOF2077,0.16240988,4.724712855,0.168803308,2.287817992,4.562302975,2.1190146839999997,4.192902958347825
2078,KANMIX_clean,MOF2078,0.180408795,5.144173774,0.17873532,2.456384776,4.9637649790000005,2.2776494560000002,4.251871166033304
2079,KARLUM_clean,MOF2079,0.102282142,12.44526132,0.103008437,2.393146292,12.342979178,2.290137855,10.558339812060721
2080,KARNAU_clean,MOF2080,0.116903703,12.36664929,0.120245679,2.643157469,12.249745587,2.52291179,9.499262084328665
2081,KARNID_clean,MOF2081,0.159187827,13.02941981,0.155292145,2.910067775,12.870231983,2.75477563,9.090396708486741
2082,KASRAZ_clean,MOF2082,0.163293151,11.00620919,0.161033463,3.079858718,10.842916039,2.9188252550000002,7.255508098474426
2083,KASRED_clean,MOF2083,0.148878,11.66627227,0.149395071,2.791962784,11.51739427,2.642567713,8.483661772950486
2084,KATDAM_clean,MOF2084,0.019527651,0.735476413,0.020290754,0.321773287,0.715948762,0.301482533,4.640658657380415
2085,KAVGAQ_clean,MOF2085,0.281392637,6.141308365,0.279296526,3.039689354,5.859915728000001,2.760392828,4.1019708040484355
2086,KAVNIH_clean,MOF2086,0.127132864,2.850702009,0.123799284,1.936876266,2.723569145,1.8130769820000001,2.988207883468193
2087,KAVTEI_clean,MOF2087,0.142194439,4.143759968,0.14052758,2.112307682,4.0015655290000005,1.9717801019999999,3.9828896573973585
2088,KAVTUY_clean,MOF2088,0.067659694,1.348551787,0.067460815,0.754845936,1.2808920929999998,0.687385121,3.62718887270616
